name,arity_profile,avg_arity,max_arity,min_arity,n_components,n_components_d,n_edges,n_edges_d,n_exist_vars,n_facts,n_nodes,n_nodes_d,n_predicates,n_rules,n_shapes,n_spacial_components,n_spacial_components_d,n_special_edges,n_special_edges_d,predicate_profile,rule_profile,t_component,t_graph,t_graph_d,t_parse,t_shapes,t_terminate_graph_avg,t_terminate_graph_d,t_terminate_graph_std,t_vlog,terminates_graph,total_t
\arity\program-211-small.res,[1-5], 2.985294117647059, 5.0, 1.0, 0, 125, 2162921, 1954730, 302028, 34000000, 1015, 13094, 340.0, 605194, 1867, 0, 1, 412683, 309697, [200-400), [333333-666666), 149.19908, 43047.15, 10463.485, 11323.614, 14863.142,NaN, 25475.826,NaN,null, false, 80341.69
\predicate\program-47-small.res,[1-5], 3.4615384615384617, 5.0, 1.0, 0, 17, 22617, 313775, 57201, 2600000, 90, 1495, 26.0, 114608, 187, 0, 1, 7830, 53722, [5-200), [0-333333), 28.836832, 1138.1763, 2023.6014, 2498.4558, 2066.81,NaN, 4119.248,NaN,null, false,null
\rules\program-322-small.res,[1-5], 3.083086053412463, 5.0, 1.0, 0, 802, 1107415, 522276, 70926, 33700000, 1039, 14486, 337.0, 141614, 1933, 0, 1, 127287, 80805, [200-400), [0-333333), 67.95506, 9293.093, 1922.1619, 2948.7803, 15795.723,NaN, 17785.84,NaN,null, false, 30342.586
\arity\program-267-small.res,[1-5], 3.1561181434599157, 5.0, 1.0, 0, 109, 1398132, 2278146, 349585, 23700000, 748, 10742, 237.0, 700596, 1409, 0, 1, 381955, 368038, [200-400), [666666-999999), 132.85828, 54162.414, 14223.351, 13041.262, 11075.06,NaN, 25431.27,NaN,null, false, 93101.64
\rules\program-463-small.res,[1-10], 5.2578125, 10.0, 1.0, 0, 159730, 1713589, 502578, 51649, 25600000, 1346, 167830, 256.0, 103066, 8031, 0, 1, 166639, 80161, [200-400), [0-333333), 196.19377, 14279.143, 249912.2, 3094.0762, 18264.324,NaN, 268372.72,NaN,null, false, 286114.16
\predicate\program-415-small.res,[1-5], 3.1508620689655173, 5.0, 1.0, 0, 97, 1299202, 1847811, 277518, 23200000, 731, 10086, 232.0, 556795, 1391, 0, 1, 333109, 297666, [200-400), [333333-666666), 108.14675, 33773.656, 10421.975, 10809.733, 11761.552,NaN, 22291.672,NaN,null, false,null
\predicate\program-229-small.res,[1-5], 3.2295081967213113, 5.0, 1.0, 0, 25, 107740, 1707667, 404952, 6100000, 197, 2632, 61.0, 809625, 362, 0, 1, 37233, 302359, [5-200), [666666-999999), 103.010025, 13188.166, 17938.383, 15203.59, 3765.218,NaN, 21806.611,NaN,null, false,null
\arity\program-352-small.res,[1-5], 3.0094562647754137, 5.0, 1.0, 0, 201, 2815921, 1880682, 279794, 42300000, 1273, 17557, 423.0, 558922, 2363, 0, 1, 426094, 293988, [400-600], [333333-666666), 143.1713, 59375.95, 8805.322, 10554.244, 18509.695,NaN, 27458.188,NaN,null, false, 98092.555
\arity\program-772-small.res,[1-10], 5.600386100386101, 10.0, 1.0, 0, 204448, 2316570, 529525, 49778, 51800000, 2901, 211727, 518.0, 99193, 18121, 0, 1, 186600, 84659, [400-600], [0-333333), 261.36917, 9786.167, 351838.38, 3095.9666, 37905.26,NaN, 390005.0,NaN,null, false, 403249.66
\rules\program-658-small.res,[1-5], 2.9956043956043956, 5.0, 1.0, 0, 199, 3114855, 2008143, 296496, 45500000, 1363, 18169, 455.0, 593300, 2500, 0, 1, 458686, 313550, [400-600], [333333-666666), 158.72525, 55066.902, 9646.941, 11116.917, 20007.008,NaN, 29812.676,NaN,null, false, 96657.695
